The HCMV genome NC_006273.2 has 169 CDS.
sample	condition	min_tpm	med_tpm	mean_tpm	max_tpm
SRR5660030	2dpi	0.0000	1877.1100	5917.1604	77019.8000
SRR5660033	6dpi	0.0000	1981.1300	5917.1581	177640.0000
SRR5660044	2dpi	0.0000	1903.6600	5917.1593	222531.0000
SRR5660045	6dpi	0.0000	1082.3100	5917.1580	401165.0000
target_id	test_stat	pval	qval
YP_081530.1	15.1859302004656	9.74266353803713e-05	0.00840803023974132
YP_081547.1	15.0309678805289	0.000105761386663413	0.00840803023974132
YP_081552.1	14.0625359077011	0.000176831194193974	0.00937205329228062
YP_081551.1	12.4698728163434	0.000413568250303955	0.0164393379495822
YP_081577.1	11.8480642444954	0.000577213157604748	0.0177390688303914
YP_081489.1	11.5723467592103	0.000669398823788354	0.0177390688303914
YP_081574.1	11.0340926097106	0.000894514489682568	0.0187755025078137
YP_081521.1	10.8637837549818	0.000980631319352587	0.0187755025078137
YP_081576.1	10.7148960426336	0.00106276429289511	0.0187755025078137
YP_081490.1	10.2068604233037	0.00139919169231837	0.022247147907862
YP_081522.1	9.39414877084269	0.00217679047781273	0.0314645169065659
YP_081561.1	8.95197052584988	0.00277170445028178	0.0367250839662336
YP_081613.1	8.62540647533717	0.00331506459103781	0.0405457899980778
YP_081600.1	8.39489038555485	0.00376277201675622	0.04273433933316
YP_081520.1	8.25060048266302	0.00407385222858835	0.0431828336230365
YP_081533.1	8.03341365086948	0.00459222106925262	0.0456351968756979
YP_081601.1	7.86875722834775	0.0050296208675523	0.0470417481141656
YP_081595.1	7.68048015482021	0.00558213134618082	0.0493088268912639
Error fetching sequences: [Errno 2] No such file or directory: 'betaherpesvirinae/PF122894.1.fasta'
Error fetching sequences: [Errno 2] No such file or directory: './betaherpesvirinae/PF122894.1.fasta'
